2i.0,:stamp,latitude,longitude,altitude_m,ground_speed_mps,heading_deg,battery_percent,gps_satellites,roll_deg,pitch_deg,yaw_deg,signal_rssi_dbm,temperature_c
2026-06-11T08:00:00,21.0312224,105.8446877,95.09,16.39,235.36,88.28,20,6.48,4.03,235.36,-66,28.7
2026-06-11T08:00:02,21.0312367,105.8447372,93.61,16.88,232.8,88.19,20,-8.5.336991,56-,-86,26.6
2026-06-11T08:00:04,21.0311722,105.8447928,93.92,17.37,25,.38,88.09,21,-12.64,-4.14,25,.38,-52,35.5
2026-06-11T08:00:06,21.0312301,105.8448052,94.54,16.64,230.01,88.05,20,10.66,7.33,230.01,-68,29.7
2026-06-11T08:00:08,21.0312518,105.8447836,94.15,16.18,237.0,88.01,19,3.27,-6.58,237.,5899182.8
2026-06-11T08:00:10,21.0312325,105.8448619,94.57,16.27,242.49,87.92,18,-8.13,-9.36,242.49,-72,31.8
2026-06-11T08:00:12,21.0311631,105.844928,94.77,16.62,242.47,87.88,19,-10.71,-7.21,242.47,-57,34.2
2026-06-11T08:00:14,21.0312026,105.8449166,95.02,16.4,236.69,87.76,20,-12.27,-9.06,236.69,-85,27.6
2026-06-11T08:00:16,21.0311482,105.8449454,95.31,16.21,236.18,87.68,20,14.13,7.22,236.18,-92,36.6
2026-06-11T08:00:18,21.0310865,105.845007,96.06,16.64,232.87,87.62,20,-1.39,9.08,232.87,-76,41.5
2026-06-11T08:00:20,21.0311285,105.8450082,94.88,16.84,232.99,87.52,20,-10.41,5.25,232.99,-58,41.2
2026-06-11T08:00:22,21.031196,105.8450752,95.18,16.82,230.8,87.49,20,-7.82,-5.18,230.8,-56,41.1
2026-06-11T08:00:24,21.0311297,105.8450729,93.88,17.24,224.86,87.39,21,13.41,-6.7,224.86,-59,39.8
2026-06-11T08:00:26,21.0311174,105.8450268,94.0,17.61,221.84,87.35,21,-1.86,0.35,221.84,-85,29.2
2026-06-11T08:00:28,21.0310477,105.8449502,94.16,17.75,225.17,87.33,20,-8.13,8.11,225.17,-71,26.2
2026-06-11T08:00:30,21.0310058,105.8449772,93.31,17.16,226.31,87.22,21,-7.71,-0.54,226.31,-66,28.2
2026-06-11T08:00:32,21.0309413,105.8449662,93.08,17.11,229.08,87.12,20,-13.18,4.56,229.08,-86,29.2
2026-06-11T08:00:34,21.0308917,105.844958,92.84,16.7,50080.6,569c,21,9.24,7.12,235.8m-3.180.9
2026-06-11T08:00:36,21.0309716,105.8450117,94.25,17.44,230.51,86.97,22,-0.56,7.29,230.51,-89,27.8
2026-06-11T08:00:38,21.0308919,105.8449942,95.53,17.89,25,.66,86.92,23,-10.36,-4.07,25,.66,-89,34.8
