timestamp,latitude,longitude,altitude_m,ground_speed_mps,heading_deg,battery_percent,gps_satellites,roll_deg,pitch_deg,yaw_deg,signal_rssi_dbm,temperature_c
2026-06-11T08:00:00,21.0338786,105.8632741,105.13,8.25,100.7,96.52,18,8.17,-4.09,100.7,-77,37.1
2026-06-11T08:00:02,21.0338117,105.8632188,105.76,8.46,97.76,96.42,17,-12.25,8.86,97.76,-64,31.1
2026-06-11T08:00:04,21.0337749,105.86316,104.82,8.38,96.29,96.35,16,-12.31,1.08,96.29,-54,35.2
2026-06-11T08:00:06,21.0337468,105.8631416,104.2,8.2,102.71,96.32,16,2.16,-6.61,102.71,-68,27.9
2026-06-11T08:00:08,21.0337098,105.8631046,103.14,7.67,99.5,96.27,15,-4.17,8.88,99.5,-52,33.4
2026-06-11T08:00:10,21.0337285,105.8630978,102.04,6.88,104.97,96.21,16,9.12,-3.41,104.97,-71,32.3
2026-06-11T08:00:12,21.0337803,105.863122,102.33,6.56,108.1,96.13,17,-5.57,9.29,108.1,-72,30.0
2026-06-11T08:00:14,21.0338115,105.8631205,102.55,6.15,113.16,96.07,18,-4.05,8.64,113.16,-80,35.1
2026-06-11T08:00:16,21.0338188,105.8631496,102.7,6.87,116.49,96.01,19,8.93,6.63,116.49,-88,38.9
2026-06-11T08:00:18,21.0338661,105.8631351,102.7,7.08,119.03,95.96,20,8.67,-8.52,119.03,-54,33.1
2026-06-11T08:00:20,21.0338502,105.8631361,103.96,7.39,123.68,95.89,20,6.05,6.25,123.68,-54,35.8
2026-06-11T08:00:22,21.0337838,105.8631792,104.44,7.16,116.39,95.8,21,14.0,-3.37,116.39,-65,26.8
2026-06-11T08:00:24,21.0337196,105.8631347,105.18,7.25,111.93,95.71,21,-3.27,5.45,111.93,-55,36.7
2026-06-11T08:00:26,21.0336637,105.8632143,105.12,6.92,105.3,95.6,21,-4.55,-3.14,105.3,-79,33.9
2026-06-11T08:00:28,21.0336394,105.8631499,105.79,6.85,98.02,95.58,20,-14.32,-3.14,98.02,-86,36.5
2026-06-11T08:00:30,21.0335857,105.8632274,105.02,6.33,98.97,95.54,21,-8.04,-1.9,98.97,-81,28.2
2026-06-11T08:00:32,21.0336109,105.8632107,105.73,6.94,97.85,95.47,20,6.14,-5.88,97.85,-88,34.8
2026-06-11T08:00:34,21.0336588,105.8632166,105.33,6.46,100.58,95.44,21,0.83,2.78,100.58,-54,31.6
2026-06-11T08:00:36,21.0336416,105.8631548,104.89,6.39,103.36,95.41,21,12.56,1.8,103.36,-49,27.3
2026-06-11T08:00:38,21.0335805,105.8631237,103.94,6.7,102.05,95.33,21,2.24,-1.54,102.05,-61,35.8
